component,shape_type,triangles,volume,center_x,center_y,center_z,min_x,min_y,min_z,size_x,size_y,size_z,source_faces,classification,motion
Component_037,Compound,1296,6350.862063469901,230.56,285.0,134.2,225.31,270.0,121.2,10.5,30.0,25.999999999999986,16,unclassified,unknown
Component_038,Compound,1312,7637.788101250102,193.06,285.0,128.7,187.81,270.0,110.2,10.5,30.0,36.999999999999986,20,unclassified,unknown
Component_039,Compound,112,22820.000000000917,211.81,285.0,203.20000000000005,196.81,270.0,128.20000000000002,30.0,30.0,150.00000000000003,26,unclassified,unknown
Component_040,Compound,54230,10105.177105399753,401.40999999999997,284.99737769521903,135.95000530394702,359.56,270.297326819772,121.17208134774909,83.69999999999999,29.40010175089401,29.55584791239589,130,unclassified,unknown
Component_041,Compound,32828,25489.323840825797,330.06000000000006,284.997377695219,135.95000530394674,300.56,270.1728020747013,121.12542968342905,59.00000000000006,29.649151241035383,29.649151241035412,20,unclassified,unknown
Component_042,Compound,9750,21699.827424558112,211.81,306.75,128.70000000000002,187.81,298.5,110.2,48.0,16.5,37.000000000000014,42,unclassified,unknown
Component_043,Compound,8659,22228.378284030532,211.81,263.25,128.70000000000002,187.81,254.99999999999997,110.2,48.0,16.50000000000003,37.000000000000014,42,unclassified,unknown
Component_044,Compound,1824,11034.430531807404,260.49999999999994,285.0,180.13939193540898,248.00000623223846,272.50010092629987,165.13939193540898,24.99998753552299,24.999798147400327,30.00000000000003,6,unclassified,unknown
Component_045,Compound,14708,7988.358451728904,408.0199948899828,284.99999441061914,16.025000000000055,393.02014038855344,270.00013990922594,1.3499999999999501,29.999709002858708,29.999709002786403,29.35000000000021,43,unclassified,unknown
Component_046,Compound,50844,8591.974439892878,408.01999651791186,284.999130964107,84.60000000000002,393.49656909448197,270.4821882979852,52.74999999999989,29.046854846859844,29.033885332243585,63.70000000000025,130,unclassified,unknown
Component_047,Compound,6780,13682.778563000193,408.01999488998285,284.99999441061897,33.2,378.01999488998285,255.00001306229905,30.699999999999697,60.00000000000006,59.99996269663984,5.000000000000611,15,unclassified,unknown
Component_048,Compound,8140,13153.406842142322,408.01999651791186,284.999130964107,38.2,378.02000541797156,254.99918428413028,35.699999999999704,59.99998219988066,59.999893359953404,5.000000000000597,19,unclassified,unknown
Component_049,Compound,59261,19122.1144132224,43.999999999999986,285.0,130.20000000000002,-26.00000000000003,276.0,121.2,140.00000000000003,18.0,18.000000000000014,72,unclassified,unknown
Component_050,Compound,12,6250.000000000001,212.31,285.5,115.2,199.81,273.0,110.2,25.0,25.0,10.0,6,unclassified,unknown
Component_051,Compound,12,6250.000000000001,212.31,285.5,135.2,199.81,273.0,130.2,25.0,25.0,10.0,6,unclassified,unknown
Component_052,Compound,12,6250.000000000001,212.31,285.5,155.20000000000002,199.81,273.0,150.20000000000002,25.0,25.0,10.0,6,unclassified,unknown
Component_053,Compound,12,6250.000000000001,212.31,285.5,175.2,199.81,273.0,170.2,25.0,25.0,10.0,6,unclassified,unknown
Component_054,Compound,12,6250.000000000001,212.31,285.5,195.20000000000002,199.81,273.0,190.20000000000002,25.0,25.0,10.0,6,unclassified,unknown
Component_055,Compound,12,6250.000000000001,212.31,285.5,215.2,199.81,273.0,210.2,25.0,25.0,10.0,6,unclassified,unknown
Component_056,Compound,12,6250.000000000001,212.31,285.5,235.2,199.81,273.0,230.2,25.0,25.0,10.0,6,unclassified,unknown
Component_057,Compound,12,6250.000000000001,212.31,285.5,255.2,199.81,273.0,250.2,25.0,25.0,10.0,6,unclassified,unknown
Component_058,Compound,12,6249.999999999998,212.31,285.5,125.19999999999999,199.81,273.0,120.2,25.0,25.0,9.999999999999986,6,unclassified,unknown
Component_059,Compound,12,6250.000000000001,212.31,285.5,145.2,199.81,273.0,140.2,25.0,25.0,10.0,6,unclassified,unknown
Component_060,Compound,12,6250.000000000001,212.31,285.5,165.20000000000002,199.81,273.0,160.20000000000002,25.0,25.0,10.0,6,unclassified,unknown
Component_061,Compound,12,6250.000000000001,212.31,285.5,185.20000000000002,199.81,273.0,180.20000000000002,25.0,25.0,10.0,6,unclassified,unknown
Component_062,Compound,12,6250.000000000001,212.31,285.5,205.2,199.81,273.0,200.2,25.0,25.0,10.0,6,unclassified,unknown
Component_063,Compound,12,6250.000000000001,212.31,285.5,225.20000000000002,199.81,273.0,220.20000000000002,25.0,25.0,10.0,6,unclassified,unknown
Component_064,Compound,12,6250.000000000001,212.31,285.5,245.2,199.81,273.0,240.2,25.0,25.0,10.0,6,unclassified,unknown
Component_065,Compound,12,6250.000000000001,212.31,285.5,265.2,199.81,273.0,260.2,25.0,25.0,10.0,6,unclassified,unknown
Component_066,Compound,17876,1533.2779785388373,211.81,253.49966601840765,116.70000000000002,205.8100363408812,245.99933203677006,110.70003634088123,11.99992731823761,15.000667963275191,11.999927318237567,37,unclassified,unknown
Component_067,Compound,31188,43733.1574371731,260.5,285.0,250.0,246.0,270.5,207.5,29.0,29.0,85.0,290,unclassified,unknown
Component_068,Compound,41110,105166.9915985614,408.02052647629614,292.7499944106189,14.050000000000054,386.27105806260954,237.29999441061892,-1.9000000000000616,43.49893682737326,110.90000000000003,31.900000000000233,228,unclassified,unknown
Component_069,Compound,29900,43774.98941795378,413.06000000000006,284.997377695219,135.95000530394702,370.56,270.497377695219,121.45000530394702,85.00000000000006,29.0,29.0,286,unclassified,unknown
